gauge_id,cwc_lat,cwc_lon,ghi_lat,ghi_lon,elev_mean,elev_median,elev_min,elev_max,slope_mean,slope_median,slope_min,slope_max,cwc_area,ghi_area,gauge_elevation,dpsbar
6001,22.7914,86.1736,22.79374,86.17292,313.1047824,281,115,956,7.090540275,3.040747881,0,90.76850891,6309,6350.2,132,7.351005952
6002,21.9311,86.7186,21.93133,86.71874,338.5246784,236,25,1115,11.74710572,5.669933319,0,117.4121552,1695,1663,34,16.9045369
6003,22.1669,86.5711,22.16873,86.57288,287.3821048,306,83,721,11.95014597,7.108709335,0,77.16414642,250,256.5,96,15.85224189
6004,22.9708,86.0208,22.97297,86.02292,420.6610091,389,153,1043,6.228358409,3.293393612,0,94.88362885,5248,5797.9,153,8.521562016
6005,22.3086,86.9164,22.31043,86.91458,101.2311532,95,45,390,2.229397543,1.738614082,0,50.48465729,700,853.2,52,2.860413886
6006,22.5806,86.4683,22.58125,86.46876,341.5416948,286,60,1043,6.940591765,3.244438887,0,108.0313492,14176,14291.2,69,7.682009262
6007,21.5478,86.9181,21.54795,86.91871,229.4041024,100,-2,1166,8.644330576,2.878536224,0,121.5434875,4495,4450.4,12,13.37395053
6008,22.8156,86.2161,22.81459,86.21877,357.9573141,300,115,1043,6.807771658,3.211387634,0,94.88362885,12649,12785,120,7.852359511
6009,22.2197,86.7167,22.21874,86.71457,322.2714197,274,44,1043,6.890797842,3.22795558,0,108.0313492,16000,15979.4,47,7.586752127
6010,21.6092,86.6833,21.61043,86.68127,266.7307994,147,23,1166,9.641470955,3.441246986,0,121.5434875,1185,1330,25,18.65126533
6011,21.7678,87.1642,21.76874,87.16458,285.3810995,254,5,1043,6.14987091,2.853720665,0,108.0313492,18260,18666.5,11,6.772949959
7001,20.9297,85.5189,20.93127,85.51875,208.2682706,147,47,989,10.83188845,4.917543411,0,116.6785583,830,937.2,52,8.412036144
7002,21.2111,86.1206,21.21038,86.12295,473.9472768,426,32,1181,7.20192789,3.661545277,0,123.3568726,8570,8655.2,32,9.417191881
7003,20.8611,85.8597,20.86042,85.86042,390.2555827,367,21,1174,8.048945014,3.887659311,0,167.9461365,33050,35520,30,7.941376893
7004,22.13,84.88,22.11858,84.85212,517.7630682,527,161,1110,7.151680324,4.070864677,0,103.059166,19453,19721.9,194,7.595887833
