gauge_id,water_frac,trees_frac,flooded_veg_frac,crops_frac,built_area_frac,bare_frac,range_frac,dom_land_cover,dom_land_cover_frac,lai_mean,lai_min,lai_max,lai_diff
14015,0.051512,0.289665,0.000000,0.074316,0.026679,0.000081,0.557747,rangeland,0.557747,1.251,0.707,7.309,6.602
14016,0.028841,0.100004,0.000000,0.281641,0.024553,0.000014,0.564948,rangeland,0.564948,0.926,0.209,7.391,7.182
14017,0.029013,0.104774,0.000000,0.279605,0.040642,0.000018,0.545949,rangeland,0.545949,0.931,0.209,7.391,7.182
15001,0.005926,0.876089,0.000230,0.008677,0.039288,0.000184,0.069606,trees,0.876089,2.149,1.070,4.739,3.669
15002,0.000927,0.918774,0.000000,0.000518,0.037676,0.000009,0.042096,trees,0.918774,2.209,0.997,4.705,3.708
15003,0.012577,0.668166,0.000000,0.119115,0.046014,0.000194,0.153934,trees,0.668166,1.705,0.578,9.192,8.614
15004,0.000328,0.666844,0.000000,0.012454,0.299911,0.000178,0.020285,trees,0.666844,3.317,1.587,4.805,3.219
15005,0.034310,0.768655,0.000410,0.008694,0.047346,0.000400,0.140185,trees,0.768655,2.986,0.802,4.541,3.739
15006,0.003048,0.865098,0.000000,0.003074,0.011920,0.000002,0.116857,trees,0.865098,3.153,1.408,4.666,3.258
15007,0.001532,0.800878,0.000000,0.005168,0.174035,0.000100,0.018288,trees,0.800878,3.493,1.170,4.830,3.659
15008,0.006707,0.893142,0.000066,0.001672,0.028035,0.000131,0.070247,trees,0.893142,2.970,0.931,4.849,3.918
15009,0.003894,0.953224,0.000000,0.000118,0.018543,0.000022,0.024199,trees,0.953224,3.633,1.211,4.857,3.646
15010,0.085877,0.795473,0.003474,0.005267,0.008224,0.000951,0.100734,trees,0.795473,2.357,0.518,4.569,4.051
15011,0.002645,0.774747,0.000000,0.011402,0.135462,0.000008,0.075736,trees,0.774747,3.899,1.260,4.866,3.606
15012,0.004463,0.736801,0.000000,0.017435,0.187916,0.000178,0.053207,trees,0.736801,3.738,0.935,4.740,3.806
15013,0.003777,0.647864,0.000000,0.019288,0.298909,0.000067,0.030096,trees,0.647864,2.576,0.808,4.934,4.126
15014,0.001913,0.743493,0.000000,0.007383,0.180604,0.000062,0.066545,trees,0.743493,3.703,0.926,4.864,3.938
15015,0.011889,0.437059,0.000000,0.284533,0.168629,0.000020,0.097869,trees,0.437059,1.609,0.685,4.698,4.012
15016,0.013329,0.495338,0.000017,0.227301,0.191359,0.001222,0.071434,trees,0.495338,1.624,0.252,9.192,8.941
15017,0.004722,0.822510,0.000000,0.008866,0.093704,0.000400,0.069799,trees,0.822510,3.059,0.739,5.178,4.439
15018,0.043030,0.684963,0.008914,0.017849,0.135695,0.000083,0.109467,trees,0.684963,3.171,0.553,5.076,4.523
15019,0.014296,0.821737,0.000189,0.006477,0.086105,0.000203,0.070992,trees,0.821737,3.733,1.132,4.773,3.642
15020,0.014881,0.479397,0.000014,0.274675,0.149233,0.000382,0.081417,trees,0.479397,1.322,0.252,9.192,8.941
15021,0.029669,0.720176,0.001630,0.005732,0.069166,0.000058,0.173569,trees,0.720176,3.319,0.691,7.576,6.885
15022,0.016619,0.777879,0.002667,0.005572,0.131624,0.000187,0.065452,trees,0.777879,3.451,0.834,4.908,4.074
15023,0.007016,0.872650,0.000000,0.005125,0.068300,0.000134,0.046776,trees,0.872650,3.598,1.230,4.926,3.696
15024,0.009605,0.726864,0.000010,0.047483,0.168033,0.000081,0.047924,trees,0.726864,2.568,0.593,5.052,4.460
15025,0.002133,0.933594,0.000000,0.000059,0.004921,0.000009,0.059284,trees,0.933594,3.738,1.166,4.843,3.676
15026,0.010008,0.602440,0.000419,0.032087,0.297827,0.000031,0.057188,trees,0.602440,3.409,0.709,4.866,4.158
15027,0.071921,0.734613,0.020570,0.010766,0.039746,0.000032,0.122351,trees,0.734613,3.343,0.553,5.076,4.523
15028,0.026394,0.743631,0.000428,0.024195,0.047882,0.000172,0.157297,trees,0.743631,3.207,1.134,5.067,3.933
15029,0.000573,0.933335,0.000000,0.002257,0.056458,0.000000,0.007377,trees,0.933335,3.727,2.227,4.848,2.621
15030,0.002029,0.735559,0.000000,0.005111,0.158640,0.000285,0.098375,trees,0.735559,3.724,0.986,4.925,3.939
15031,0.028151,0.804465,0.000102,0.002799,0.018186,0.000000,0.146297,trees,0.804465,3.356,1.119,7.576,6.457
15032,0.002607,0.891924,0.000000,0.006631,0.038872,0.000013,0.059953,trees,0.891924,2.742,1.422,4.628,3.206
16001,0.009543,0.477492,0.003161,0.281309,0.027498,0.000254,0.200743,trees,0.477492,1.618,0.618,7.825,7.207
16002,0.008360,0.549136,0.000505,0.157046,0.013646,0.001035,0.270272,trees,0.549136,1.663,0.548,4.372,3.823
16003,0.003849,0.580809,0.000000,0.129147,0.008913,0.000420,0.276861,trees,0.580809,1.755,0.571,4.372,3.801
16004,0.007303,0.573471,0.000145,0.110252,0.010150,0.000571,0.298107,trees,0.573471,1.719,0.548,4.372,3.823
16005,0.002611,0.485599,0.000000,0.113022,0.010751,0.000084,0.387933,trees,0.485599,1.598,0.664,3.830,3.166
16006,0.002036,0.533134,0.000139,0.109450,0.004380,0.000000,0.350862,trees,0.533134,1.675,0.736,2.444,1.709
16007,0.007886,0.561439,0.000130,0.125542,0.011080,0.001069,0.292854,trees,0.561439,1.692,0.548,4.372,3.823
16008,0.002919,0.455061,0.000000,0.332058,0.018244,0.000324,0.191394,trees,0.455061,1.590,0.571,3.940,3.369
16009,0.000647,0.503391,0.000000,0.119788,0.011640,0.000000,0.364534,trees,0.503391,1.720,0.835,3.455,2.620
16010,0.006924,0.084701,0.000099,0.477291,0.020635,0.000109,0.410241,crops,0.477291,0.933,0.381,7.792,7.411
16011,0.000219,0.511674,0.000000,0.103067,0.016736,0.000000,0.368304,trees,0.511674,1.678,0.856,2.167,1.311
16012,0.011894,0.536988,0.001165,0.293831,0.027479,0.000508,0.128134,trees,0.536988,1.563,0.595,7.557,6.962
